lncRNA	miRNAs
LL22NC03-27C5.1	hsa-miR-377-3p
CDR1-AS	hsa-miR-516b-5p
RP11-627G23.1	hsa-miR-665
RP5-894D12.5	hsa-miR-1972
CTD-2281E23.3	hsa-miR-7641
CTD-2281E23.3	hsa-miR-371a-5p
CTC-265F19.1	hsa-miR-1203
CTC-265F19.1	hsa-miR-185-5p
CTC-265F19.1	hsa-miR-5091
RP11-54O7.17	hsa-miR-1470
CTC-265F19.1	hsa-miR-493-3p
RP11-830F9.6	hsa-miR-1227-3p
KB-1183D5.13	hsa-miR-151a-5p
CTC-265F19.1	hsa-miR-33a-5p
RP13-580B18.4	hsa-miR-1972
LINC01070	hsa-miR-766-3p
RP11-138B4.1	hsa-miR-4482-5p
RP11-138B4.1	hsa-miR-765
RP5-894D12.5	hsa-miR-873-5p
HP09025	hsa-miR-541-3p
RP5-894D12.5	hsa-miR-146b-3p
RP3-323A16.1	hsa-let-7a-3p
HP09025	hsa-miR-762
HP09025	hsa-miR-138-5p
RP11-982M15.8	hsa-miR-1231
AATBC	hsa-miR-939-5p
PAX8-AS1	hsa-miR-423-5p
AC092657.2	hsa-miR-185-5p
RP11-99L13.2	hsa-miR-186-5p
PAX8-AS1	hsa-miR-18a-5p
PAX8-AS1	hsa-miR-541-3p
MUC2	hsa-miR-193b-5p
RP11-384K6.6	hsa-miR-6089
CTB-186H2.3	hsa-miR-188-3p
RP11-229P13.22	hsa-miR-338-3p
MUC2	hsa-miR-541-3p
LINC01106	hsa-miR-516b-5p
RP11-14P20.1	hsa-miR-296-5p
RP11-138B4.1	hsa-miR-650
RP3-323A16.1	hsa-miR-223-5p
TMEM191C	hsa-miR-1184
GS1-519E5.1	hsa-miR-1237-3p
RP11-326C3.10	hsa-miR-1207-3p
RP11-326C3.10	hsa-miR-22-3p
LINC01070	hsa-miR-1226-3p
LINC01070	hsa-miR-197-3p
AC097468.4	hsa-miR-744-3p
FAM74A7	hsa-miR-146a-3p
LL22NC03-2H8.4	hsa-miR-221-5p
LINC01106	hsa-miR-24-3p
RP11-426C22.4	hsa-miR-3659
RP11-458F8.4	hsa-miR-612
RP11-102K13.5	hsa-miR-873-5p
RP11-326C3.10	hsa-miR-493-3p
RP11-333E1.2	hsa-miR-624-3p
RP11-830F9.6	hsa-miR-198
HP09025	hsa-miR-365a-3p
RP3-388N13.3	hsa-miR-18a-3p
TP73-AS1	hsa-miR-125b-1-3p
RP4-737E23.2	hsa-miR-499a-3p
AC011284.3	hsa-miR-1178-3p
RP11-138B4.1	hsa-miR-483-5p
RP11-138B4.1	hsa-miR-139-3p
AP001476.4	hsa-miR-762
RP11-54O7.17	hsa-miR-2355-5p
RP11-14P20.1	hsa-miR-1203
RP11-14P20.1	hsa-miR-151a-5p
RP4-737E23.2	hsa-miR-1228-3p
RP11-326C3.14	hsa-miR-1207-3p
RP11-326C3.14	hsa-miR-493-3p
RP11-10J21.4	hsa-miR-1228-5p
LL22NC03-2H8.4	hsa-miR-328-3p
FAM74A6	hsa-miR-146a-3p
DPP10-AS2	hsa-let-7a-3p
RP3-470B24.5	hsa-miR-361-3p
RP13-580B18.4	hsa-miR-1234-3p
RP3-388N13.3	hsa-miR-1224-5p
RP11-333E1.2	hsa-miR-125b-2-3p
FAM95B1	hsa-miR-3663-5p
RP5-892K4.1	hsa-miR-650
RP4-737E23.2	hsa-miR-377-3p
TP73-AS1	hsa-miR-1207-3p
RP5-892K4.1	hsa-miR-10a-5p
CTC-459F4.1	hsa-miR-576-5p
RP11-333E1.2	hsa-miR-18a-5p
RP5-892K4.1	hsa-miR-432-3p
RP11-982M15.8	hsa-miR-2113
AC091153.4	hsa-miR-101-3p
FAM182A	hsa-miR-1972
GAS6-AS1	hsa-miR-892a
RP4-539M6.22	hsa-miR-214-3p
RP4-539M6.22	hsa-miR-338-3p
LA16c-306A4.2	hsa-miR-103a-3p
FAM182A	hsa-miR-125a-3p
AC011284.3	hsa-miR-15b-3p
MUC19	hsa-miR-668-3p
AATBC	hsa-miR-185-5p
RP11-333E1.2	hsa-miR-432-3p
AC069257.8	hsa-miR-640
PCDH9-AS2	hsa-miR-5047
RP11-458F8.4	hsa-miR-449c-5p
RP11-627G23.1	hsa-miR-939-5p
RP11-627G23.1	hsa-miR-765
AC000035.3	hsa-miR-191-3p
MUC2	hsa-miR-5787
AC011718.2	hsa-miR-624-3p
RP13-507P19.2	hsa-miR-766-3p
RP13-507P19.2	hsa-miR-33b-3p
RP13-507P19.2	hsa-miR-515-5p
LA16c-306A4.2	hsa-miR-148a-3p
LA16c-306A4.2	hsa-miR-34a-5p
LA16c-306A4.2	hsa-miR-130a-3p
RP11-526P6.1	hsa-miR-362-5p
RP11-526P6.1	hsa-miR-136-5p
RP11-13K12.1	hsa-miR-139-3p
MUC2	hsa-miR-122-5p
LINC01002	hsa-miR-150-5p
LINC01002	hsa-miR-188-3p
AP001476.4	hsa-miR-134-5p
AP001476.4	hsa-miR-34a-5p
LINC01002	hsa-miR-1225-3p
RP5-892K4.1	hsa-miR-93-3p
MUC2	hsa-miR-140-5p
RP11-429B14.4	hsa-miR-543
MIR325HG	hsa-miR-186-5p
AIRN	hsa-miR-650
RP11-413M3.4	hsa-miR-532-5p
RP11-338K13.1	hsa-miR-7-5p
KB-1183D5.13	hsa-miR-1224-5p
LINC01043	hsa-miR-20a-3p
RP5-892K4.1	hsa-miR-488-3p
LINC01123	hsa-miR-520a-5p
XXyac-YM21GA2.7	hsa-miR-28-5p
RP11-102K13.5	hsa-miR-185-3p
MMP25-AS1	hsa-miR-188-5p
C10orf91	hsa-miR-1207-5p
CTD-2245F17.9	hsa-miR-28-5p
LL22NC03-27C5.1	hsa-miR-130a-5p
LINC00917	hsa-miR-4482-5p
COL4A2-AS2	hsa-miR-188-3p
XXyac-YM21GA2.7	hsa-miR-1224-5p
RP5-892K4.1	hsa-miR-6087
RP11-394A14.2	hsa-miR-625-5p
MMP25-AS1	hsa-miR-670-5p
MUC19	hsa-miR-29a-5p
LINC00689	hsa-miR-1184
LINC01002	hsa-miR-1972
RP11-618K13.2	hsa-miR-1207-5p
RP11-1228E12.1	hsa-miR-1972
GAS8-AS1	hsa-miR-18a-3p
MUC2	hsa-miR-762
MUC2	hsa-miR-5088-5p
CTC-265F19.1	hsa-miR-1225-3p
RP11-326C3.10	hsa-miR-140-3p
RP11-717I24.1	hsa-miR-512-3p
AC093063.3	hsa-miR-627-5p
RP13-580B18.4	hsa-miR-1976
LINC01106	hsa-miR-1273f
RP11-638I8.1	hsa-miR-6089
CTD-3138B18.5	hsa-miR-342-3p
CTD-2619J13.14	hsa-miR-1224-5p
LINC00969	hsa-miR-1238-3p
DPP10-AS2	hsa-miR-376c-3p
RP11-54O7.17	hsa-miR-1224-3p
RP11-429B14.4	hsa-miR-656-3p
RP11-394A14.2	hsa-miR-762
RP11-13K12.1	hsa-miR-92a-1-5p
RP11-627G23.1	hsa-miR-423-5p
RP11-210M15.1	hsa-miR-140-3p
RP11-627G23.1	hsa-miR-122-5p
GAS6-AS1	hsa-miR-582-3p
LINC00265	hsa-miR-6089
MUC19	hsa-miR-508-5p
LINC01123	hsa-miR-1225-3p
RP11-717I24.1	hsa-miR-1236-3p
RP11-932O9.4	hsa-miR-7-5p
MUC19	hsa-miR-766-3p
CTD-3138B18.5	hsa-miR-377-3p
RP11-54O7.17	hsa-miR-328-3p
RP4-737E23.2	hsa-miR-1324
RP11-166B2.5	hsa-miR-129-5p
LINC00969	hsa-miR-193a-3p
LINC00969	hsa-miR-582-3p
GAS6-AS1	hsa-miR-491-5p
MLLT4-AS1	hsa-miR-1228-5p
LINC00689	hsa-miR-877-3p
LINC01001	hsa-miR-1972
AC011284.3	hsa-miR-541-3p
LINC00940	hsa-miR-1238-3p
AP001476.4	hsa-miR-5088-5p
RP11-774O3.3	hsa-miR-544a
AC011718.2	hsa-miR-1224-5p
RP13-507P19.2	hsa-miR-622
RP13-507P19.2	hsa-miR-361-3p
LINC01128	hsa-miR-1206
RP11-326C3.14	hsa-miR-22-3p
HPVC1	hsa-miR-592
CTA-941F9.10	hsa-miR-149-3p
RP13-507P19.2	hsa-miR-542-5p
VIPR1-AS1	hsa-miR-452-3p
CTC-265F19.1	hsa-miR-450b-5p
RP11-394A14.2	hsa-miR-149-5p
CTD-2008P7.3	hsa-miR-766-3p
MUC2	hsa-miR-30b-3p
LINC01043	hsa-miR-324-5p
CTD-2292P10.2	hsa-miR-338-3p
RP11-210M15.1	hsa-miR-342-3p
LINC00174	hsa-miR-1972
MUC2	hsa-miR-363-5p
AC004156.3	hsa-miR-92b-5p
AATBC	hsa-miR-625-5p
MUC19	hsa-miR-483-3p
CTD-2281E23.3	hsa-miR-483-3p
LINC00265	hsa-miR-1207-5p
AC009133.24	hsa-miR-1470
RP11-333E1.2	hsa-miR-1207-5p
CTD-2619J13.14	hsa-miR-28-5p
AC137934.1	hsa-miR-642a-5p
RP11-210M15.1	hsa-miR-377-3p
AIRN	hsa-miR-6087
RP11-1260E13.1	hsa-miR-612
RP13-580B18.4	hsa-miR-766-3p
LINC00685	hsa-miR-1224-3p
LA16c-306A4.2	hsa-miR-143-5p
LINC00174	hsa-miR-1234-3p
RP11-458F8.4	hsa-miR-558
RP3-470B24.5	hsa-miR-625-5p
RP11-830F9.6	hsa-miR-92b-5p
RP11-830F9.6	hsa-miR-184
LINC01165	hsa-miR-150-5p
HCG22	hsa-miR-193a-5p
RP11-32B5.8	hsa-miR-198
AIRN	hsa-miR-149-3p
CTC-459F4.1	hsa-miR-622
LINC01165	hsa-miR-338-3p
FAM230B	hsa-let-7a-3p
RP3-470B24.5	hsa-miR-181a-2-3p
RP3-470B24.5	hsa-miR-217
RP3-470B24.5	hsa-miR-1184
AC084219.4	hsa-miR-188-3p
AC078942.1	hsa-miR-766-3p
CTB-51J22.1	hsa-miR-505-5p
MLLT4-AS1	hsa-miR-224-3p
MLLT4-AS1	hsa-miR-184
SLC8A1-AS1	hsa-miR-335-3p
RP11-210M15.1	hsa-miR-499a-3p
RP5-991B18.1	hsa-miR-28-5p
RP11-46C24.3	hsa-miR-342-5p
FLJ16779	hsa-miR-181a-2-3p
RP11-458F8.4	hsa-miR-6089
PCBP3-OT1	hsa-miR-875-3p
MUC2	hsa-miR-323b-5p
CTD-2517M22.17	hsa-miR-146b-3p
FAM230B	hsa-miR-132-5p
RP11-627G23.1	hsa-miR-181c-3p
CTB-51J22.1	hsa-miR-665
HP09025	hsa-miR-939-5p
RP11-384K6.6	hsa-miR-558
AC010761.6	hsa-miR-1976
RP4-539M6.22	hsa-miR-302a-3p
FAM74A1	hsa-miR-942-5p
RP11-94C24.13	hsa-let-7a-5p
RP11-94C24.13	hsa-miR-486-3p
RP11-431K24.1	hsa-miR-642a-5p
AP001476.4	hsa-miR-1207-5p
RP4-539M6.22	hsa-miR-1207-5p
LINC01001	hsa-miR-1234-3p
RP11-717I24.1	hsa-miR-148a-3p
RP11-431K24.1	hsa-miR-1208
AC079586.1	hsa-miR-489-3p
LINC01002	hsa-miR-377-3p
DPP10-AS2	hsa-miR-190a-5p
LL22NC03-27C5.1	hsa-miR-181a-5p
RP11-458F8.4	hsa-miR-650
LINC00689	hsa-miR-139-3p
CTD-2619J13.14	hsa-miR-18a-3p
RP11-384K6.6	hsa-miR-185-5p
RP11-469N6.1	hsa-miR-3664-5p
RP11-184M15.2	hsa-miR-122-5p
FAM182A	hsa-miR-499a-3p
RP11-54O7.17	hsa-miR-544a
RP13-580B18.4	hsa-miR-515-5p
AP001626.2	hsa-miR-5787
FAM95B1	hsa-miR-888-3p
FAM95B1	hsa-miR-223-3p
RP4-671O14.7	hsa-miR-542-3p
HCG22	hsa-miR-1184
CTD-2561B21.7	hsa-miR-671-5p
LINC01165	hsa-miR-421
RP11-728E14.3	hsa-miR-642a-5p
RP11-780K2.1	hsa-miR-338-3p
ZNF883	hsa-miR-299-3p
NNT-AS1	hsa-miR-1224-5p
ZNF337-AS1	hsa-miR-510-5p
AC006019.3	hsa-miR-7-5p
RP3-388N13.3	hsa-miR-28-5p
CTD-2281E23.3	hsa-miR-34c-3p
RP5-1092A3.5	hsa-miR-484
RP1-182D15.2	hsa-miR-512-3p
RP11-394A14.2	hsa-miR-744-5p
FLJ35934	hsa-miR-541-3p
PCBP3-OT1	hsa-miR-338-3p
AC079586.1	hsa-miR-542-3p
LINC00535	hsa-miR-579-3p
FLJ35934	hsa-miR-185-5p
LL22NC03-2H8.5	hsa-miR-3662
RP11-394A14.2	hsa-miR-185-3p
CTB-60B18.18	hsa-miR-1226-5p
RP4-539M6.22	hsa-miR-1226-3p
CITF22-1A6.3	hsa-miR-140-3p
HPVC1	hsa-miR-1231
LINC01002	hsa-miR-1470
AP001476.4	hsa-miR-943
RP11-1334A24.6	hsa-miR-670-5p
LINC01165	hsa-miR-545-3p
CTD-3138B18.5	hsa-miR-1228-3p
LINC00689	hsa-miR-3664-5p
RP5-991B18.1	hsa-miR-558
RP11-269G24.6	hsa-miR-1321
RP11-231G3.1	hsa-miR-561-3p
RP11-110L15.2	hsa-miR-3662
RP11-394A14.2	hsa-miR-5787
MUC2	hsa-miR-142-3p
RP3-470B24.5	hsa-miR-1-3p
LINC00173	hsa-miR-625-5p
RP11-54O7.17	hsa-miR-744-5p
RP11-54O7.17	hsa-miR-10a-5p
RP11-54O7.17	hsa-miR-324-5p
RP11-54O7.17	hsa-miR-20a-3p
RP11-54O7.17	hsa-miR-663b
LINC00265	hsa-miR-149-3p
LINC01123	hsa-miR-1200
LINC01123	hsa-miR-1976
AP000345.1	hsa-miR-27a-5p
AP000345.1	hsa-miR-185-3p
RP11-458F8.4	hsa-miR-28-5p
AC011718.2	hsa-miR-425-5p
RP11-311F12.1	hsa-miR-149-3p
COL4A2-AS2	hsa-miR-615-5p
LINC00173	hsa-miR-939-5p
LINC00689	hsa-miR-885-3p
CTD-2532K18.2	hsa-miR-593-3p
RP4-671O14.7	hsa-miR-194-3p
CTB-77H17.1	hsa-miR-217
LINC00265	hsa-miR-558
RP11-426C22.4	hsa-miR-1231
AC011718.2	hsa-miR-124-3p
AC097468.4	hsa-miR-629-3p
RP11-1217F2.15	hsa-miR-766-3p
RP11-394A14.4	hsa-miR-550a-5p
AC093388.3	hsa-miR-6089
CH507-216K13.2	hsa-miR-499a-3p
NNT-AS1	hsa-miR-18a-3p
RP11-630C16.1	hsa-miR-7150
RP11-123I22.1	hsa-miR-670-5p
GS1-251I9.3	hsa-miR-130b-5p
RP1-27K12.2	hsa-miR-888-3p
LINC00689	hsa-miR-223-5p
CTD-3193O13.12	hsa-miR-766-3p
RP11-157B13.7	hsa-miR-542-3p
C22orf34	hsa-miR-1208
LINC00689	hsa-miR-149-3p
LINC00689	hsa-miR-650
LINC00689	hsa-miR-6089
LINC00689	hsa-miR-1236-3p
AC005264.2	hsa-miR-2113
RP4-697K14.15	hsa-miR-885-3p
AC006548.28	hsa-miR-129-5p
RP11-629N8.3	hsa-miR-629-3p
LINC00265	hsa-miR-650
LINC00940	hsa-miR-877-3p
CTD-3099C6.5	hsa-miR-145-5p
CTD-3099C6.5	hsa-miR-16-1-3p
CTD-3099C6.5	hsa-miR-770-5p
MUC19	hsa-miR-140-5p
LINC01070	hsa-miR-4482-5p
AC011284.3	hsa-miR-363-5p
AC011284.3	hsa-miR-342-5p
RP4-539M6.22	hsa-miR-873-5p
HPVC1	hsa-miR-214-5p
RP5-1171I10.5	hsa-miR-5787
SPACA6P	hsa-miR-627-5p
RP11-394A14.2	hsa-miR-550a-5p
RP1-182D15.2	hsa-miR-148a-3p
LINC01523	hsa-miR-1976
RP11-1217F2.15	hsa-miR-1226-3p
LINC00940	hsa-miR-1236-3p
SPACA6P	hsa-miR-515-5p
AATBC	hsa-miR-6089
RP11-426C22.4	hsa-miR-223-5p
CTD-2619J13.14	hsa-miR-1321
AC093642.4	hsa-miR-515-5p
LINC01043	hsa-miR-218-2-3p
SNHG14	hsa-miR-148a-3p
SNHG14	hsa-miR-130a-3p
CTD-3032J10.2	hsa-miR-1976
XX-C2158C6.3	hsa-miR-490-3p
HCG22	hsa-miR-670-5p
LINC00689	hsa-miR-7515
AC011718.2	hsa-miR-151a-5p
LINC01043	hsa-miR-1206
AC011718.2	hsa-miR-1197
MUC19	hsa-miR-1273g-5p
LINC00613	hsa-miR-186-5p
MUC19	hsa-miR-199a-5p
LINC01070	hsa-miR-103a-3p
RP11-526P6.1	hsa-miR-218-5p
RP11-550H2.2	hsa-miR-942-5p
LINC01043	hsa-miR-218-1-3p
RP5-1029F21.3	hsa-miR-671-5p
RP11-304L19.13	hsa-miR-650
CTD-2517M22.17	hsa-miR-18a-3p
AC005160.3	hsa-miR-629-3p
RP11-269G24.6	hsa-miR-185-5p
LINC00632	hsa-miR-924
RP11-989E6.10	hsa-miR-3663-5p
FLJ16779	hsa-miR-744-5p
HPVC1	hsa-miR-223-5p
AC011718.2	hsa-let-7d-3p
LINC01106	hsa-miR-106a-5p
MUC2	hsa-miR-342-5p
AC137934.1	hsa-miR-455-3p
RP11-164O23.8	hsa-miR-126-5p
RP5-1014D13.2	hsa-miR-650
MCF2L-AS1	hsa-miR-500a-3p
ZNF833P	hsa-miR-199a-5p
FLJ35934	hsa-miR-423-5p
RP11-545P7.4	hsa-miR-4482-5p
RP4-681L3.2	hsa-miR-544a
RP11-762H8.5	hsa-miR-671-5p
RP11-449D8.5	hsa-miR-27a-3p
RP11-379F4.6	hsa-miR-520d-5p
CTA-929C8.6	hsa-miR-297
LINC00917	hsa-miR-542-3p
RP11-432I5.8	hsa-miR-5090
LL22NC03-27C5.1	hsa-miR-1229-3p
RP11-1260E13.4	hsa-miR-1231
RP11-1260E13.4	hsa-miR-1184
RP11-333E1.2	hsa-miR-2909
CTD-2008P7.3	hsa-miR-1200
MCF2L-AS1	hsa-miR-338-3p
RP11-85G18.6	hsa-miR-766-3p
RP11-923I11.5	hsa-miR-744-5p
CH507-216K13.2	hsa-miR-1972
RP11-369C8.1	hsa-miR-106a-5p
AC018816.3	hsa-miR-539-5p
MUC19	hsa-miR-382-5p
MUC19	hsa-miR-194-3p
VPS9D1-AS1	hsa-miR-6090
RP11-394A14.2	hsa-miR-342-5p
AC005330.2	hsa-miR-593-3p
AC092535.3	hsa-miR-1184
RP11-680F20.6	hsa-miR-1207-5p
LINCMD1	hsa-miR-30b-3p
DYX1C1-CCPG1	hsa-miR-186-5p
MUC19	hsa-miR-640
RP11-7M8.2	hsa-miR-363-5p
RP11-10J21.4	hsa-miR-521
RP11-368I7.4	hsa-miR-181a-2-3p
RP5-1029F21.2	hsa-miR-629-3p
RP11-153F5.7	hsa-miR-30b-3p
RP3-388N13.3	hsa-miR-339-3p
TTTY4C	hsa-miR-489-3p
AC006019.3	hsa-miR-625-5p
RP3-323A16.1	hsa-let-7d-3p
AC004156.3	hsa-miR-612
LA16c-306A4.2	hsa-miR-140-3p
LINC01423	hsa-miR-338-3p
LINC01022	hsa-miR-766-3p
RP11-22M7.2	hsa-miR-1200
TMEM191C	hsa-miR-767-3p
FAM74A1	hsa-miR-515-5p
TMEM191C	hsa-miR-1976
AC091153.4	hsa-miR-1237-3p
AC016682.1	hsa-miR-505-5p
TTLL10-AS1	hsa-miR-214-3p
LINC01128	hsa-miR-452-3p
LINC01128	hsa-miR-5094
LINC01128	hsa-miR-23a-5p
LINC01128	hsa-miR-140-3p
PCBP3-OT1	hsa-miR-3200-5p
RP11-423H2.5	hsa-miR-345-5p
RP11-758P17.3	hsa-miR-1225-3p
RP11-91H12.3	hsa-miR-224-5p
CTD-2330K9.2	hsa-miR-1972
LINC00905	hsa-miR-1972
RP11-413M3.4	hsa-miR-326
RP11-333E1.2	hsa-miR-873-5p
TMEM191A	hsa-miR-1184
RP11-867G23.10	hsa-miR-520a-5p
RP11-830F9.5	hsa-miR-181a-2-3p
AC011284.3	hsa-miR-145-3p
AC011718.2	hsa-let-7a-2-3p
RP11-64K12.8	hsa-miR-875-3p
CTD-2006K23.1	hsa-miR-1207-3p
AC008154.4	hsa-miR-544a
RP11-774O3.3	hsa-miR-1238-3p
AC015849.16	hsa-miR-214-3p
CTD-2008P7.1	hsa-miR-520g-3p
RP11-243A14.1	hsa-miR-223-5p
MUC2	hsa-miR-132-5p
LINC00174	hsa-miR-1976
RP11-54O7.17	hsa-miR-874-3p
RP11-867G23.4	hsa-miR-1207-5p
RP11-343D2.11	hsa-miR-302a-5p
RP11-731F5.1	hsa-miR-378a-3p
LINC00854	hsa-miR-140-3p
CTD-2619J13.14	hsa-miR-491-5p
ADGRA1-AS1	hsa-miR-18a-3p
RP11-66B24.2	hsa-miR-650
FRMPD3-AS1	hsa-miR-875-3p
RP11-130L8.1	hsa-miR-93-3p
AC011284.3	hsa-miR-30b-3p
RP11-90K6.1	hsa-miR-629-3p
TMEM9B-AS1	hsa-miR-214-3p
ST6GAL2-IT1	hsa-miR-4511
RP11-285A18.2	hsa-miR-1238-3p
RP5-902P8.10	hsa-miR-767-3p
RP5-902P8.10	hsa-miR-370-3p
RP11-154D6.1	hsa-miR-186-5p
RP11-326C3.14	hsa-miR-140-3p
RP11-116D2.1	hsa-miR-374a-5p
RP11-142C4.6	hsa-miR-766-3p
LINC01123	hsa-miR-27a-3p
RP11-90K6.1	hsa-miR-1237-3p
CTA-280A3.2	hsa-miR-185-5p
RP11-102K13.5	hsa-miR-4482-5p
LINC01002	hsa-miR-766-3p
ST20-AS1	hsa-miR-765
CTD-2013N17.7	hsa-miR-650
FAM95B1	hsa-miR-181a-2-3p
FAM95B1	hsa-miR-194-3p
VPS9D1-AS1	hsa-miR-939-5p
RP11-627G23.1	hsa-miR-1200
RP11-627G23.1	hsa-miR-1976
RP11-210M15.1	hsa-miR-130a-5p
CTA-315H11.2	hsa-miR-149-3p
LINC01165	hsa-miR-501-3p
LINC01165	hsa-miR-500a-3p
LINC00686	hsa-miR-125a-3p
LINC00686	hsa-miR-143-5p
RP5-1029F21.2	hsa-miR-18a-3p
RP11-153F5.7	hsa-miR-149-3p
LINC00173	hsa-miR-149-3p
AC079586.1	hsa-miR-758-3p
CTA-941F9.10	hsa-miR-939-5p
RP13-895J2.3	hsa-miR-665
RP11-1391J7.1	hsa-miR-342-5p
RP11-223P11.3	hsa-miR-25-5p
RP11-469N6.1	hsa-miR-1181
AC015849.16	hsa-miR-139-5p
RP11-159D12.10	hsa-miR-185-5p
RP11-22A3.2	hsa-miR-186-5p
KCNQ1OT1	hsa-miR-1207-3p
RP11-311F12.1	hsa-miR-939-5p
CTC-548K16.5	hsa-miR-219a-1-3p
RP11-456H18.1	hsa-miR-146a-5p
AC009052.12	hsa-miR-937-3p
RP13-143G15.4	hsa-miR-26b-3p
LINC00240	hsa-miR-590-3p
FAM74A7	hsa-miR-942-5p
LINC00265	hsa-miR-185-5p
